PANONCEAU;NOM MAGASIN;CENTRALE;LUNDI_HO;LUNDI_HF_MIDI;LUNDI_HO_MIDI;LUNDI_HF;MARDI_HO;MARDI_HF_MIDI;MARDI_HO_MIDI;MARDI_HF;MERCREDI_HO;MERCREDI_HF_MIDI;MERCREDI_HO_MIDI;MERCREDI_HF;JEUDI_HO;JEUDI_HF_MIDI;JEUDI_HO_MIDI;JEUDI_HF;VENDREDI_HO;VENDREDI_HF_MIDI;VENDREDI_HO_MIDI;VENDREDI_HF;SAMEDI_HO;SAMEDI_HF_MIDI;SAMEDI_HO_MIDI;SAMEDI_HF;DIMANCHE_HO;DIMANCHE_HF_MIDI;DIMANCHE_HO_MIDI;DIMANCHE_HF;GPS_LATITUDE;GPS_LONGITUDE;ADRESSE;CP;VILLE;TEL;FAX;JOURS_FERIES_NATION;URL_MAGASIN;INSEE;CONCEPT_ANIMALERIE;CONCEPT_AUTO;CONCEPT_BIJOUX;CONCEPT_BORNE;CONCEPT_BRICO;CONCEPT_DRIVE;CONCEPT_ESPACE_CULTUREL;CONCEPT_EXPRESS;CONCEPT_JARDIN;CONCEPT_JOUET;CONCEPT_LOCATION;CONCEPT_OPTIQUE;CONCEPT_PARAPHARMACIE;CONCEPT_SPORT;CONCEPT_STATION;CONCEPT_UHPS;CONCEPT_VOYAGES
1478;HOUILLES;SCADIF;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;08:30;;;20:30;;;;;48.921345;2.198059;Boulevard Jean Jaures - Espace Sarazin;78800;Houilles;01.61.30.70.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/houilles;78311;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
2459;ORCHIES;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;08:30;12:30;;;50.47006;3.249168;RUE CLAUDE JEAN;59310;ORCHIES;03.20.71.91.57;03.20.61.85.20;25-12;www.e-leclerc.com/orchies;59449;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
1464;Aicirits;SCALANDES;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;;;;;43.33275;-1.016493;ZAC DE TARGA;64120;Aicirits;05.59.65.83.09;;;www.e-leclerc.com/aicirits;64010;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
0205;Briançon;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;12:30;44.89356;6.63509;Rue de la Soie;05100;BRIANCON;04.92.25.54.20;04.92.25.54.21;;www.e-leclerc.com/briancon;05023;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
0680;Péronne;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;20:00;;;;;49.943214;2.939169;Avenue des Australiens;80200;PERONNE;03.22.73.36.00;03.22.73.36.09;25-12;www.e-leclerc.com/peronne;80620;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
2086;FOLELLI;LECASUD;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;13:00;42.26571;9.302289;B.P. 51;20213;FOLELLI;04 95 59 70 20;04 95 36 46 00;25-12;www.e-leclerc.com/folelli;2B207;N;N;N;N;N;N;N;N;N;N;Y;N;Y;N;N;N;N
1314;ARGENCES;SCANORMANDE;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;00:00;;;00:00;49.121014;-0.1741;Rue de la Gare;14370;ARGENCES;02.31.23.95.30;02.31.23.98.23;15-08,01-11,11-11,25-12;www.e-leclerc.com/argences;14020;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
2087;GRAND BASTIA;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;42.665245;9.440266;Avenue Sampiero Corso, RN 193;20600;BASTIA;04.95.30.14.50;;15-08,01-11,25-12;www.e-leclerc.com/grand-bastia;2B033;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N
0924;TERRASSON LAVILLEDIEU;SCASO;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;09:00;;;12:30;45.12966;1.323253;ZI DU COUTAL;24120;TERRASSON LAVILLEDIEU;05.53.50.96.90;;15-08,01-11,11-11,25-12;www.e-leclerc.com/terrasson-lavilledieu;24547;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1567;SOULTZ SOUS FORETS;SCAPALSACE;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:30;08:00;;;18:30;;;;;48.937588;7.883884;rue des chênes;67250;SOULTZ-SOUS-FORETS;03.88.05.67.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/soultzdis;67474;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
